epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.8596,0.80633,2.66416,3.27228,1.3868,0.1774,0.33329,0.19978,0.1518,0.17065,0.29961,0.18656,0.11808,1.29245,6.20711,3.0004,1.96089,0.083051,5.1e-05,5.1e-05
2,57.139,0.61155,1.70605,1.95411,1.24227,0.31452,0.57488,0.34715,0.28268,0.28364,0.49905,0.26464,0.13848,0.78516,6.98806,4.29369,1.48456,0.065105,0.000104994,0.000104994
3,84.3886,0.62346,1.5888,1.73888,1.23512,0.31704,0.54229,0.36918,0.26591,0.42856,0.38666,0.33396,0.22083,1.28386,6.64722,3.54923,2.08842,0.047159,0.000158961,0.000158961
4,114.149,0.67653,1.54267,1.65434,1.25565,0.44274,0.46093,0.39899,0.26969,0.43461,0.44496,0.36994,0.2139,0.98512,7.7286,4.87551,1.60874,0.0292129,0.000212883,0.000212883
5,144.308,0.65844,1.63546,1.56867,1.27563,0.3762,0.67186,0.4747,0.37901,0.37142,0.65974,0.47102,0.36178,0.75088,3.06638,4.15607,1.55231,0.0112667,0.000266739,0.000266739
6,183.209,0.68848,1.57295,1.58139,1.26562,0.44054,0.50546,0.49373,0.37473,0.41971,0.48567,0.47111,0.34915,0.76791,2.67896,2.50169,1.44885,0.000299542,0.000299542,0.000299542
7,240.004,0.72533,1.75331,1.5213,1.29826,0.4438,0.50836,0.45648,0.37373,0.43315,0.48842,0.42963,0.3197,0.6937,2.88004,2.53297,1.38462,0.000299341,0.000299341,0.000299341
8,266.903,0.7055,1.72599,1.49452,1.30131,0.45795,0.50627,0.48669,0.39346,0.38864,0.45119,0.41825,0.29668,0.81649,3.54542,2.98187,1.67623,0.000299103,0.000299103,0.000299103
9,298.248,0.66793,1.56862,1.39575,1.26529,0.54147,0.3971,0.46272,0.34269,0.4409,0.33004,0.3423,0.2025,0.94629,4.66745,2.22622,1.58139,0.000298829,0.000298829,0.000298829
10,331.212,0.63434,1.4614,1.39865,1.22605,0.71095,0.50592,0.59557,0.4841,0.66856,0.4641,0.51351,0.34235,0.68319,2.99023,1.98789,1.30255,0.000298519,0.000298519,0.000298519
11,369.9,0.66497,1.5459,1.37516,1.24637,0.47391,0.54412,0.52073,0.41669,0.47994,0.52867,0.50378,0.39036,0.73864,1.74801,2.52931,1.4062,0.000298172,0.000298172,0.000298172
12,401.167,0.66828,1.60836,1.32195,1.22862,0.57601,0.53592,0.57294,0.47291,0.56087,0.52238,0.54664,0.43461,0.66309,1.81419,1.87181,1.26944,0.000297789,0.000297789,0.000297789
13,434.97,0.66405,1.55603,1.32429,1.25959,0.46286,0.64483,0.5749,0.48326,0.46398,0.61807,0.55395,0.427,0.62532,1.87288,1.75794,1.27757,0.00029737,0.00029737,0.00029737
14,469.28,0.63872,1.40787,1.28736,1.20862,0.48794,0.59391,0.5457,0.45238,0.55319,0.53398,0.53516,0.4459,0.761,1.59227,2.62744,1.6099,0.000296915,0.000296915,0.000296915
15,501.843,0.67362,1.60384,1.24041,1.25406,0.53493,0.50834,0.47463,0.37462,0.51349,0.49336,0.44232,0.34439,0.75234,1.99092,2.66199,1.5477,0.000296424,0.000296424,0.000296424
16,532.589,0.6422,1.51142,1.25421,1.20998,0.56841,0.55327,0.51795,0.39757,0.555,0.55225,0.49034,0.36846,0.82542,1.69431,1.91146,1.7094,0.000295897,0.000295897,0.000295897
17,558.906,0.61625,1.45805,1.2016,1.20961,0.64246,0.46874,0.56961,0.46059,0.63314,0.45965,0.55162,0.45935,0.78206,1.63466,1.7504,1.65237,0.000295335,0.000295335,0.000295335
18,625.853,0.60208,1.38451,1.21823,1.19311,0.4733,0.58231,0.53932,0.4347,0.46112,0.56853,0.5225,0.42004,0.72592,1.78905,2.04323,1.53097,0.000294737,0.000294737,0.000294737
19,685.2,0.64198,1.59666,1.27029,1.22909,0.53933,0.55379,0.5613,0.45559,0.53195,0.5353,0.54346,0.44253,0.74328,1.50613,1.86597,1.58411,0.000294104,0.000294104,0.000294104
20,711.864,0.65146,1.50669,1.29638,1.22144,0.69836,0.61655,0.68421,0.55713,0.68803,0.58909,0.65023,0.51455,0.62815,1.68451,1.88539,1.28017,0.000293435,0.000293435,0.000293435
21,763.112,0.60788,1.58546,1.26569,1.22186,0.62404,0.60652,0.64517,0.52712,0.61548,0.59768,0.62282,0.50994,0.6183,1.6248,1.66331,1.24295,0.000292732,0.000292732,0.000292732
22,826.038,0.63156,1.49453,1.23886,1.24943,0.59124,0.62057,0.6463,0.53906,0.58653,0.61007,0.62795,0.54196,0.75143,1.5523,1.77415,1.58085,0.000291994,0.000291994,0.000291994
23,854.995,0.63824,1.4777,1.18803,1.2222,0.65919,0.59897,0.65423,0.54614,0.64963,0.58989,0.64296,0.52974,0.71621,1.53186,1.83574,1.60539,0.000291221,0.000291221,0.000291221
24,884.173,0.58567,1.33,1.11185,1.20156,0.59719,0.60014,0.62487,0.52015,0.57393,0.58888,0.59796,0.49796,0.69459,1.49569,1.68889,1.30035,0.000290413,0.000290413,0.000290413
25,917.051,0.60433,1.3516,1.12214,1.21357,0.58409,0.6501,0.61382,0.50306,0.55948,0.62263,0.57935,0.46466,0.71342,1.71986,1.60082,1.32229,0.000289572,0.000289572,0.000289572
26,947.345,0.58512,1.46472,1.07657,1.17738,0.60414,0.62495,0.62654,0.52114,0.60291,0.60444,0.60326,0.51769,0.6881,1.62155,1.56472,1.40749,0.000288696,0.000288696,0.000288696
27,1010.21,0.6113,1.486,1.13415,1.20874,0.62467,0.6135,0.59041,0.45503,0.62146,0.60101,0.57987,0.4391,0.84807,2.02051,1.79457,1.61536,0.000287787,0.000287787,0.000287787
28,1040.05,0.64484,1.45023,1.12821,1.21178,0.55036,0.7048,0.63223,0.5142,0.53886,0.68511,0.59322,0.50494,0.73242,1.43023,1.90982,1.62873,0.000286843,0.000286843,0.000286843
29,1068.82,0.63388,1.42801,1.11367,1.21792,0.55179,0.66848,0.62692,0.51368,0.63475,0.55235,0.62302,0.50539,0.72266,1.29488,2.01531,1.64993,0.000285867,0.000285867,0.000285867
30,1099.91,0.56311,1.29477,1.04924,1.15325,0.64139,0.61487,0.63709,0.53857,0.55399,0.65178,0.61359,0.50389,0.71316,1.51411,1.43047,1.45064,0.000284857,0.000284857,0.000284857
31,1160.88,0.5409,1.34754,1.0077,1.12884,0.67211,0.60268,0.67624,0.56085,0.61984,0.62619,0.65895,0.5482,0.69596,1.31678,1.31749,1.45577,0.000283814,0.000283814,0.000283814
32,1198.71,0.55097,1.24929,1.03398,1.15287,0.68882,0.67439,0.70202,0.57909,0.68755,0.67369,0.69907,0.5761,0.73948,1.51632,1.23558,1.45818,0.000282739,0.000282739,0.000282739
33,1267.46,0.57934,1.53281,0.99995,1.18857,0.7146,0.6081,0.68846,0.58035,0.70369,0.59908,0.66729,0.56208,0.71642,1.56352,1.23666,1.5626,0.000281632,0.000281632,0.000281632
34,1298.82,0.54271,1.21963,1.04281,1.14267,0.62736,0.59381,0.64331,0.54548,0.61467,0.58788,0.62689,0.52855,0.7189,1.57016,1.36822,1.50977,0.000280492,0.000280492,0.000280492
35,1330.96,0.60224,1.37023,1.12932,1.18568,0.76967,0.59477,0.70667,0.60577,0.75497,0.5799,0.68348,0.58386,0.70128,1.45483,1.12752,1.47194,0.00027932,0.00027932,0.00027932
36,1358.83,0.54048,1.31352,0.93283,1.14556,0.70961,0.58456,0.67718,0.56343,0.6728,0.56798,0.63827,0.52023,0.64127,1.80478,1.31575,1.35596,0.000278117,0.000278117,0.000278117
37,1391.35,0.54377,1.38111,0.93097,1.15299,0.75158,0.61247,0.68573,0.57834,0.73822,0.60155,0.66298,0.56915,0.69648,1.41041,1.23425,1.48843,0.000276883,0.000276883,0.000276883
